,regNo,typeOfInvest,initiationDate,cancelNav,issueNav,dividendIntervalPeriod,guaranteedEarningRate,date,netAsset,estimatedEarningRate,investedUnits,beta,alpha,isCompleted,fiveBest,stock,bond,other,cash,deposit,commodity
0,11777,IssuanceAndCancellation,2021-01-03,71543817.0,71640067.0,0.0,,2023-06-19T00:00:00,74023883405729.0,,1034665.0,,,True,89.66,92.51,0.0,7.49,0.0,0.0,
1,11446,IssuanceAndCancellation,2016-10-08,18331176.0,18357541.0,0.0,,2023-06-19T00:00:00,19866136867127.0,,1083735.0,,,True,95.47,95.65,0.0,0.44,0.0,3.91,
2,11633,IssuanceAndCancellation,2019-03-05,1294238.0,1294339.0,0.0,,2023-06-19T00:00:00,94722689423.0,,73188.0,,,True,0.0,92.82,0.0,6.43,0.09,0.66,
3,11783,IssuanceAndCancellation,2020-12-30,1365515.0,1365763.0,0.0,,2023-06-19T00:00:00,400255915815.0,,293117.0,,,True,0.0,0.0,0.0,91.7,10.89,0.0,
4,11410,IssuanceAndCancellation,2016-03-07,9383805.0,9397820.0,0.0,,2023-06-19T00:00:00,174268605719558.0,,18571208.0,,,True,98.47,98.47,0.0,3.58,0.0,0.0,
5,11950,Negotiable,2022-03-17,411878.0,411878.0,0.0,,2023-06-09T00:00:00,411878254654.0,,1000000.0,,,True,0.0,0.0,0.0,25.81,0.0,74.19,
6,11759,IssuanceAndCancellation,2020-11-28,1909336.0,1911784.0,0.0,,2023-06-19T00:00:00,18882381623614.0,,9889501.0,,,True,0.0,0.0,0.0,57.2,0.0,2.44,0.0
7,11443,IssuanceAndCancellation,2016-07-18,16532482.0,16555037.0,0.0,,2023-06-19T00:00:00,9288179850659.0,,561814.0,,,True,86.15,86.15,0.0,0.01,0.0,0.01,0.0
8,11884,IssuanceAndCancellation,2021-09-18,1493548.0,1495510.0,0.0,,2023-06-19T00:00:00,1141920553883.0,,764569.0,,,True,0.0,0.0,0.0,0.1,0.21,0.0,0.0
9,11709,Negotiable,2020-06-24,304646.0,306722.0,0.0,,2023-06-19T00:00:00,175799669754134.0,,577061888.0,1.094424,48.93,True,98.28,98.28,0.0,0.06,0.0,1.44,0.0
10,11967,Negotiable,2022-06-15,19237.0,19275.0,0.0,20.0,2023-06-19T00:00:00,3491552241496.0,,181500000.0,1.0576731666666668,47.056666666666665,True,0.0,0.0,0.0,2.31,0.0,2.24,95.44
11,11941,IssuanceAndCancellation,2022-03-15,1770087.0,1772578.0,0.0,19.81132075471698,2023-06-19T00:00:00,1471500133706.0,,831315.0,1.0209223333333335,45.18333333333333,True,58.85,85.18,1.49,1.98,0.0,11.35,96.92
12,11618,IssuanceAndCancellation,2018-12-16,1733093.0,1735157.0,0.0,19.62264150943396,2023-06-19T00:00:00,36486777303177.0,,21052978.0,0.9841715,43.31,True,42.64,92.43,4.87,0.4,0.0,2.3,98.39999999999999
13,11856,Negotiable,2021-07-26,24097.0,24147.0,0.0,19.433962264150942,2023-06-19T00:00:00,16937805708879.0,,702900000.0,0.9474206666666667,41.43666666666667,True,0.0,0.0,0.0,0.02,0.0,0.1,99.88
14,11530,Negotiable,2017-11-08,119690.0,119864.0,0.0,19.245283018867923,2023-06-19T00:00:00,7872686361539.0,,65775552.0,0.9106698333333334,39.56333333333333,True,0.0,0.0,0.46,0.13,0.0,5.06,94.36
