,regNo,fundType,fundUnit,fundPublisher,fundSize
0,11777,11,,1,74023883405729.0
1,11446,11,,1,19866136867127.0
2,11633,11,,1,94722689423.0
3,11783,11,,4,400255915815.0
4,11410,11,,4,174268605719558.0
5,11950,12,,1,411878254654.0
6,11759,11,40.36,2,18882381623614.0
7,11443,11,13.83,2,9288179850659.0
8,11884,11,99.69,2,1141920553883.0
9,11709,6,0.22,2,175799669754134.0
10,11967,5,0.0,2,3491552241496.0
11,11941,11,0.0,1,1471500133706.0
12,11618,11,0.0,1,36486777303177.0
13,11856,5,0.0,2,16937805708879.0
14,11530,5,0.0,2,7872686361539.0
15,11149,6,0.0,1,1526708290270.0
16,11899,5,0.0,2,7433709849228.0
17,11823,6,0.0,1,231924044925.0
18,11807,11,0.0,1,502629259649.0
19,11586,5,0.0,1,29997480053923.0
20,11186,6,0.0,2,1722390031470.0
21,11878,6,0.0,2,3991643685816.0
22,11195,6,0.0,1,5764589508845.0
23,11141,6,0.0,1,1075395578907.0
24,11603,12,0.0,1,97129958304.0
25,11463,6,0.0,1,933985296460.0
26,11359,11,0.0,4,6996331126467.0
27,11706,6,0.0,2,719620030251.0
28,10789,6,0.0,1,6426027056971.0
29,11773,6,0.0,2,2357222997166.0
30,11710,11,0.0,1,2575464367765.0
31,11889,6,0.0,2,2499173965814.0
32,11509,5,0.0,2,58361708045655.0
33,11951,6,0.0,1,4675080116863.0
34,11922,6,0.0,2,2024701790453.0
35,11729,6,0.0,2,987808369329.0
36,11454,6,0.0,1,4407626188605.0
37,11324,11,0.0,1,9369942318679.0
38,11664,11,0.0,1,204019381953309.0
39,10589,6,0.0,2,2939484975731.0
40,11384,6,0.0,1,688383073487.0
41,11172,7,0.0,1,1153403144977.0
42,11853,6,0.0,2,3728592848469.0
43,11314,6,0.0,1,223872730404.0
44,11534,11,0.0,2,19474646340250.0
45,11925,11,0.0,2,1276779150322.0
46,11921,7,0.22,1,55992577927.0
47,11365,11,0.44,2,2142097532228.0
48,11556,5,0.0,2,15301244335585.0
49,11087,6,0.0,1,1979181038791.0
50,11595,11,0.0,4,19156497550901.0
51,11364,11,0.0,2,108429608434866.0
52,11220,6,0.0,2,894837269617.0
53,11924,6,47.99,4,10111033056401.0
